NumOfClaps,NumOfComments,article,articleTags,articleURL,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime
,,Weakest Link,"Data Science,Mtbf,Reliability",https://medium.com/musings-on-reliability-and-maintenance-topics/weakest-link-2fabf44d4e98?source=tag_archive---------0---------------------,https://medium.com/@fmsReliability,Fred Schenkelberg,"Jan 10, 2012",4 min read
,,Statistics for fun and profit (and analyzing split tests),Data Science,https://devblog.songkick.com/statistics-for-fun-and-profit-and-analyzing-split-tests-34d4d02a9f02?source=tag_archive---------5---------------------&gi=10fa5ed648f1,https://devblog.songkick.com/@Songkick,Songkick,"Oct 18, 2012",7 min read
,,Weakest Link,"Data Science,Mtbf,Reliability",https://medium.com/musings-on-reliability-and-maintenance-topics/weakest-link-2fabf44d4e98?source=tag_archive---------9---------------------,https://medium.com/@fmsReliability,Fred Schenkelberg,"Jan 10, 2012",4 min read
,,"Dawn of the Data Age: Jake Porway, DataKind, and the Future of Decision-Making","Data Science,Philanthropy,Datakind,Data,Predictive Analytics",https://medium.com/@jcbivins/dawn-of-the-data-age-jake-porway-datakind-and-the-future-of-decision-making-57113d27a7c6?source=tag_archive---------8---------------------,https://medium.com/@jcbivins,Jereme Bivins,"Dec 25, 2012",3 min read
,,"Please, Big Data people, just say what you mean…",Data Science,https://medium.com/@tobrien/please-big-data-people-just-say-what-you-mean-f9158ae7e939?source=tag_archive---------6---------------------,https://medium.com/@tobrien,Tim O'Brien,"Aug 20, 2012",2 min read
,,3 Years!! exhilarated team!!,"Open Source,Data Science,Travel,Life",https://tech.goibibo.com/3-years-exhilarated-team-52a760bb872?source=tag_archive---------4---------------------&gi=e3d72edff3dd,https://tech.goibibo.com/@goibibo_tech,Goibibo Tech,"Sep 5, 2012",2 min read
,,"Zyynep Tufecki, ","By Any Means Necessary,Data Science,Elections 2012",https://medium.com/@stoweboyd/zyynep-tufecki-beware-the-big-data-campaign-45a252f0b3d2?source=tag_archive---------7---------------------,https://medium.com/@stoweboyd,Stowe Boyd,"Nov 17, 2012", 
2 claps,1,Videos of the Netflix talks at AWS Re:Invent,"AWS,Chaos Monkey,Cloud Architecture,Data Science,Netflixsecurity",https://medium.com/netflix-techblog/videos-of-the-netflix-talks-at-aws-re-invent-6760a6332da3?source=tag_archive---------2---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Dec 10, 2012",3 min read
285 claps,2,1000x Faster Spelling Correction algorithm (2012),"Programming,Data Science,Computer Science,Information Retrieval,Machine Learning",https://medium.com/@wolfgarbe/1000x-faster-spelling-correction-algorithm-2012-8701fcd87a5f?source=tag_archive---------1---------------------,https://medium.com/@wolfgarbe,Wolf Garbe,"Jun 6, 2012",6 min read
691 claps,15,Netflix Recommendations: Beyond the 5 stars (Part 2),"Data Science,Consumer Data Science,Machine Learning,Personalization,Recommendations",https://medium.com/netflix-techblog/netflix-recommendations-beyond-the-5-stars-part-2-d9b96aa399f5?source=tag_archive---------0---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jun 19, 2012",10 min read
2 claps,,Principal Components Analysis in one slide,"Data Science,Pca,Analytics,Statistics",https://medium.com/data-science-at-home/principal-components-analysis-in-one-slide-5ff6974601a?source=tag_archive---------3---------------------,https://medium.com/@frag,Francesco Gadaleta,"Nov 27, 2012", 
,,"Please, Big Data people, just say what you mean…",Data Science,https://medium.com/@tobrien/please-big-data-people-just-say-what-you-mean-f9158ae7e939?source=tag_archive---------0---------------------,https://medium.com/@tobrien,Tim O'Brien,"Aug 20, 2012",2 min read
,,3 Years!! exhilarated team!!,"Open Source,Data Science,Travel,Life",https://tech.goibibo.com/3-years-exhilarated-team-52a760bb872?source=tag_archive---------0---------------------,https://tech.goibibo.com/@goibibo_tech,Goibibo Tech,"Sep 5, 2012",2 min read
,,Statistics for fun and profit (and analyzing split tests),Data Science,https://devblog.songkick.com/statistics-for-fun-and-profit-and-analyzing-split-tests-34d4d02a9f02?source=tag_archive---------0---------------------,https://devblog.songkick.com/@Songkick,Songkick,"Oct 18, 2012",7 min read
,,"Innovation, hard work and constant learning at Hadapt","Big Data,Business,Data Science",https://medium.com/a-data-driven-guy/innovation-hard-work-and-constant-learning-at-hadapt-36258c93c0a2?source=tag_archive---------1---------------------,https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Oct 22, 2012",2 min read
,,Full360 Likes Jaspersoft 5,"Big Data,Data Science,Data Visualization",https://medium.com/@mdcbowen/full360-likes-jaspersoft-5-ea1766e093fb?source=tag_archive---------2---------------------,https://medium.com/@mdcbowen,Michael DC Bowen,"Nov 14, 2012",4 min read
,,"Zyynep Tufecki, ","By Any Means Necessary,Data Science,Elections 2012",https://medium.com/@stoweboyd/zyynep-tufecki-beware-the-big-data-campaign-45a252f0b3d2?source=tag_archive---------1---------------------,https://medium.com/@stoweboyd,Stowe Boyd,"Nov 17, 2012", 
2 claps,,Principal Components Analysis in one slide,"Data Science,Pca,Analytics,Statistics",https://medium.com/data-science-at-home/principal-components-analysis-in-one-slide-5ff6974601a?source=tag_archive---------0---------------------,https://medium.com/@frag,Francesco Gadaleta,"Nov 27, 2012", 
,,"Dawn of the Data Age: Jake Porway, DataKind, and the Future of Decision-Making","Data Science,Philanthropy,Datakind,Data,Predictive Analytics",https://medium.com/@jcbivins/dawn-of-the-data-age-jake-porway-datakind-and-the-future-of-decision-making-57113d27a7c6?source=tag_archive---------1---------------------,https://medium.com/@jcbivins,Jereme Bivins,"Dec 25, 2012",3 min read
2 claps,1,Videos of the Netflix talks at AWS Re:Invent,"AWS,Chaos Monkey,Cloud Architecture,Data Science,Netflixsecurity",https://medium.com/netflix-techblog/videos-of-the-netflix-talks-at-aws-re-invent-6760a6332da3?source=tag_archive---------0---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Dec 10, 2012",3 min read
,,Covering Indexes with Included Columns,"Sql,Data Science,Data Analysis",https://medium.com/@josiplazarevski/covering-indexes-with-included-columns-c2c254cf7227?source=tag_archive---------2---------------------,https://medium.com/@josiplazarevski,Josip Lazarevski,"Dec 9, 2012",3 min read
