NumOfClaps,NumOfComments,article,articleTags,articleURL,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime
1 clap,,,"Data Science,Tech,Jobs,Startup",https://medium.com/life-at-carwow/meettheteam-giorgio-galvan-data-analyst-13afd7ee7d0b,https://medium.com/@will.mccaughey,William McCaughey,"Jan 3, 2018",5 min read
,,,"Data Science,Advice,Management And Leadership,Leadership Development,Career Advice",https://theascent.pub/what-i-learned-from-from-rick-rashid-founder-of-microsoft-research-20-965b3f465dcc?gi=49048715983b,https://theascent.pub/@f_1,F,"Jun 8, 2018",3 min read
70 claps,1,,"Data Science,Analytics,Team Building,Data Engineering,Management",https://engineering.olist.com/como-estruturar-uma-equipe-de-an%C3%A1lise-de-dados-em-uma-startup-parte-1-509a9c65cfe2?gi=b273d144b125,https://engineering.olist.com/@andresionek91,André Sionek,"Sep 8, 2018",7 min read
100 claps,,,"Machine Learning,Data Science,Genetics,Engineering,Biology",https://blog.color.com/leap-machine-learning-from-evidence-to-assess-pathogenicity-8bec2e0caa93?gi=8f97819d2774,https://blog.color.com/@carmen_lai,Carmen Lai,"Oct 3, 2018",9 min read
,,,,https://medium.com/mit-technology-review/data-mining-has-revealed-previously-unknown-russian-twitter-troll-campaigns-8efeabf74909,https://medium.com/@MITTechReview,MIT Technology Review,"Oct 11, 2018",3 min read
14 claps,,,Data Science,https://tech.cars.com/shifting-into-data-science-2977c1fbf6c2?gi=1f07b7c60b76,https://tech.cars.com/@sms112788,Sean Shookman,"Mar 19, 2018",10 min read
,,,,https://medium.com/mit-technology-review/need-medical-help-sorry-not-until-you-sign-away-your-privacy-78dabd0e4cac,https://medium.com/@MITTechReview,MIT Technology Review,"Oct 23, 2018",5 min read
,,,,https://medium.com/fast-company/suspicious-packages-spotlight-vast-postal-surveillance-system-612c562f7f45,https://medium.com/@FastCompany,Fast Company,"Oct 25, 2018",5 min read
204 claps,1,,"Coffee,Data Science,Quantified Self,Creativity,Health",https://theascent.pub/how-much-coffee-is-too-much-90fd61bd3325?gi=ece46339ec31,https://theascent.pub/@maxfrenzel,Max Frenzel,"Jul 17, 2018",5 min read
202 claps,,,"Estatistica,Data Science,Cientista De Dados,Data Science Brazil,Beginner",https://medium.com/datasciencebrazil/estatistica-data-science-1d939b633d46,https://medium.com/@lucasoliveira_56505,Lucas Oliveira,"Nov 20, 2018",8 min read
50 claps,,,Data Science,https://medium.com/unreal-madrid/data-scraping-and-data-cleaning-a4ca1aacbf9c,https://medium.com/@jiaheng_wei,Derrick Wei,"Oct 23, 2018",4 min read
1 clap,,,"Comedy,Television,Stand Up Comedy,Data Visualization,Data Science",https://thedatainart.com/comedy-central-presents-complete-episode-list-with-imdb-ratings-and-links-to-view-episode-1aa30481ff79?gi=47f97a39c872,https://thedatainart.com/@owentemple,Owen Temple,"Jun 29, 2018",3 min read
1 clap,,,"Fintech,Big Data,Big Data Analytics,Data Science,Software Engineering",https://medium.com/avionix-llc/unlock-the-true-value-of-your-datasets-4267d76741e6,https://medium.com/@kgstaub,Kenneth Staub,"Jul 25, 2018",3 min read
26 claps,,,"Data Science,Human Resources,Recruiting,Interview,Hiring",https://42hire.com/how-to-interview-a-data-scientist-and-know-if-theyre-good-18bd02ca43c3?gi=257dae438133,https://42hire.com/@MurtazaBambot,Murtaza Bambot,"Aug 20, 2018",5 min read
