,word1,word2,n
0,weakest,link,1
1,statistics,for,1
2,for,fun,1
3,fun,and,1
4,and,profit,1
5,profit,and,1
6,and,analyzing,1
7,analyzing,split,1
8,split,tests,1
9,dawn,of,1
10,of,the,2
11,the,data,1
12,data,age,1
13,age,jake,1
14,jake,porway,1
15,porway,datakind,1
16,datakind,and,1
17,and,the,1
18,the,future,1
19,future,of,1
20,of,decision,1
21,decision,making,1
22,please,big,1
23,big,data,2
24,data,people,1
25,people,just,1
26,just,say,1
27,say,what,1
28,what,you,1
29,you,mean,1
30,3,years,1
31,years,exhilarated,1
32,exhilarated,team,1
33,zyynep,tufecki,1
34,tufecki,beware,1
35,beware,the,1
36,the,big,1
37,data,campaign,1
38,videos,of,1
39,the,netflix,1
40,netflix,talks,1
41,talks,at,1
42,at,aws,1
43,aws,re,1
44,re,invent,1
45,1000x,faster,1
46,faster,spelling,1
47,spelling,correction,1
48,correction,algorithm,1
49,algorithm,2012,1
50,netflix,recommendations,1
51,recommendations,beyond,1
52,beyond,the,1
53,the,5,1
54,5,stars,1
55,stars,part,1
56,part,2,1
57,principal,components,1
58,components,analysis,1
59,analysis,in,1
60,in,one,1
61,one,slide,1
62,innovation,hard,1
63,hard,work,1
64,work,and,1
65,and,constant,1
66,constant,learning,1
67,learning,at,1
68,at,hadapt,1
69,full360,likes,1
70,likes,jaspersoft,1
71,jaspersoft,5,1
72,covering,indexes,1
73,indexes,with,1
74,with,included,1
75,included,columns,1
76,q,a,1
77,a,on,1
78,on,my,1
79,my,ucsd,1
80,ucsd,data,1
81,data,mining,1
82,mining,certificate,1
