,word1,word2,n
0,data,science,11
1,science,and,1
2,and,adphorus,1
3,data,mining,1
4,mining,it,1
5,it,ai,1
6,ai,nt,1
7,nt,all,1
8,all,that,1
9,using,data,1
10,science,to,1
11,to,better,1
12,better,predict,1
13,predict,demand,1
14,demand,case,1
15,case,from,1
16,from,twitter,1
17,twitter,and,1
18,and,the,1
19,the,flu,1
20,flu,season,1
21,heat,maps,1
22,maps,track,1
23,track,customers,1
24,customers,in,1
25,in,store,1
26,store,a,1
27,a,chance,1
28,chance,to,1
29,to,apply,1
30,apply,analytics,1
31,analytics,for,1
32,for,a,2
33,a,better,1
34,better,customer,1
35,customer,experience,1
36,science,in,2
37,in,mexico,1
38,ohgb,beating,1
39,beating,the,1
40,the,wheel,1
41,wheel,of,1
42,of,fortune,1
43,fortune,bonus,1
44,bonus,round,1
45,so,you,2
46,you,want,2
47,want,to,3
48,to,be,2
49,be,a,2
50,a,data,1
51,data,scientist,3
52,data,warehouse,1
53,warehouse,design,1
54,design,on,1
55,on,amazon,1
56,amazon,redshift,1
57,solving,class,1
58,class,imbalance,1
59,imbalance,on,1
60,on,google,1
61,google,open,1
62,open,images,1
63,find,and,1
64,and,watch,1
65,watch,tv,1
66,tv,shows,1
67,shows,on,1
68,on,youtube,1
69,youtube,with,1
70,with,couchtube,1
71,couchtube,net,1
72,lack,of,1
73,of,analytics,4
74,analytics,skills,1
75,skills,may,1
76,may,be,1
77,be,holding,1
78,holding,up,1
79,up,your,1
80,your,supply,1
81,supply,chain,4
82,data,the,1
83,the,next,2
84,next,frontier,1
85,a,kaggle,1
86,kaggle,wizard,1
87,insight,data,1
88,science,fellows,1
89,fellows,program,1
90,program,launches,1
91,launches,new,1
92,new,york,2
93,york,session,1
94,fellow,spotlight,1
95,spotlight,shelby,1
96,shelby,sturgis,1
97,spending,your,1
98,your,analytics,2
99,analytics,time,1
100,time,where,1
101,where,it,1
102,it,counts,1
103,managers,need,1
104,need,to,1
105,to,know,1
106,know,technical,1
107,technical,details,1
108,details,of,1
109,predictions,that,1
110,that,save,1
111,save,big,1
112,big,money,1
113,what,about,1
114,about,the,1
115,the,women,1
116,creating,serving,1
117,serving,amp,1
118,amp,storing,1
119,storing,data,1
120,data,for,2
121,for,discovery,1
122,our,ongoing,1
123,ongoing,analytics,1
124,analytics,project,1
125,project,with,1
126,with,the,2
127,the,nfl,1
128,nfl,winning,1
129,winning,more,1
130,more,games,1
131,data,inference,1
132,inference,drinking,1
133,drinking,with,1
134,the,dude,1
135,benefits,of,1
136,of,map,1
137,map,portals,1
138,portals,for,1
139,for,your,1
140,analytics,projects,3
141,add,user,1
142,user,pseudonyms,1
143,pseudonyms,in,1
144,in,data,1
145,data,analysis,2
146,wsj,article,1
147,article,on,1
148,on,the,1
149,the,importance,1
150,importance,of,1
151,analytics,to,1
152,to,your,1
153,your,career,2
154,placepickr,helping,1
155,helping,couples,1
156,couples,decide,1
157,decide,where,1
158,where,to,1
159,to,live,1
160,preparing,for,1
161,for,insight,1
162,sample,custom,1
163,custom,optimization,1
164,optimization,scheduling,1
165,scheduling,problem,1
166,big,data,11
167,data,applied,1
168,applied,to,1
169,to,the,1
170,the,supply,2
171,technical,note,1
172,note,on,1
173,on,calculating,1
174,calculating,many,1
175,many,distances,1
176,distances,for,1
177,for,analytics,1
178,adventures,with,1
179,with,python,1
180,python,warsaws,1
181,warsaws,bike,1
182,bike,parkings,1
183,pick,your,1
184,your,fiction,1
185,fiction,and,1
186,and,your,1
187,gradient,descent,1
188,descent,vs,1
189,vs,coordinate,1
190,coordinate,descent,1
191,can,micro,1
192,micro,contextual,1
193,contextual,analytics,1
194,analytics,transform,1
195,transform,banks,1
196,banks,into,1
197,into,customer,1
198,customer,centric,1
199,centric,leaders,1
200,understanding,usage,1
201,usage,patterns,1
202,patterns,with,1
203,with,data,4
204,what,do,1
205,do,220,1
206,220,000,1
207,000,000,2
208,000,data,1
209,data,points,1
210,points,look,1
211,look,like,1
212,experiment,reporting,1
213,reporting,framework,1
214,how,we,1
215,we,use,1
216,use,data,1
217,data,at,3
218,at,anyperk,1
219,another,benefit,1
220,benefit,of,1
221,analytics,recruiting,1
222,recruiting,talent,1
223,marinexplore,becomes,1
224,becomes,planet,1
225,planet,os,1
226,how,to,1
227,to,do,1
228,do,zero,1
229,zero,downtime,1
230,downtime,database,1
231,database,migrations,1
232,are,we,1
233,we,viral,1
234,optimizing,the,1
235,the,netflix,1
236,netflix,streaming,1
237,streaming,experience,1
238,experience,with,1
239,economist,article,1
240,article,use,1
241,use,big,1
242,data,to,1
243,to,drive,1
244,drive,many,1
245,many,small,1
246,small,changes,1
247,changes,that,1
248,that,add,1
249,add,up,1
250,power,and,1
251,and,productivity,1
252,productivity,the,1
253,next,step,1
254,step,for,1
255,for,big,1
256,do,you,1
257,you,really,1
258,really,want,1
259,to,see,1
260,see,the,1
261,the,first,1
262,first,available,1
263,available,doctor,1
264,grouping,similar,1
265,similar,messages,1
266,messages,using,1
267,using,topic,1
268,topic,modeling,1
269,powering,big,1
270,at,pinterest,1
271,the,data,2
272,science,behind,1
273,behind,adphorus,1
274,adphorus,algorithmic,1
275,algorithmic,optimization,1
276,optimization,engine,1
277,engine,marvin,1
278,science,vs,1
279,vs,data,1
280,data,engineering,1
281,optimal,streaming,1
282,streaming,histograms,1
283,building,a,1
284,a,comprehensive,1
285,comprehensive,database,1
286,database,of,1
287,of,products,1
288,products,open,1
289,open,problems,1
290,problems,and,1
291,and,challenges,1
292,challenges,in,1
293,in,machine,1
294,machine,learning,1
295,tableau,8,1
296,8,0,1
